VALOR PRED.;ORDEN DE RETIRO;FECHA RETIRO OCA;COD. PRODUCTO;CANTIDAD;PRODUCTO;DTO %;FECHA COMPRA;PROVINCIA;LOCALIDAD;PLATAFORMA
1;89946394;15/6/2021;;1;COLCHÓN L. ROMA TRADICIONAL 140CMX190CM;0;10/6/2021;BUENOS AIRES;PEREZ MILAN;megatone
1;89949468;15/6/2021;;3;COLCHÓN L. ROMA TRADICIONAL 80CMX190CM;0;9/6/2021;SAN LUIS;EL VOLCÁN;megatone
1;89950734;15/6/2021;;1;COLCHÓN L. ROMA TRADICIONAL 140CMX190CM;0;10/6/2021;CÓRDOBA;NU PORA;megatone
1;89968007;15/6/2021;;1;COLCHÓN L. ROMA TRADICIONAL 140CMX190CM;0;11/6/2021;SAN LUIS;SAN LUIS;megatone
1;89978793;15/6/2021;;2;ALMOHADAS L.COPO 70CM;0;10/6/2021;BUENOS AIRES;CHACABUCO;megatone
1;89979443;15/6/2021;;1;COLCHÓN L. ROMA TRADICIONAL 140CMX190CM;0;11/6/2021;CÓRDOBA;CÓRDOBA;megatone
1;89986106;15/06/202121;;2;ALMOHADAS L.PLACA 80CM;0;11/6/2021;SANTA FE;SANTA FE;megatone
1;90017807;15/06/202121;;1;ALMOHADAS L.COPO 70CM;0;11/6/2021;LA PAMPA;GENERAL PICO;megatone
1;90020363;15/06/202121;;1;CONJUNTO L. ROMA TRADICIONAL 140CMX190CM;0;12/6/2021;SANTA FE;RAFAELA;megatone
1;90028498;15/06/202121;;1;COLCHÓN L. ROMA TRADICIONAL 140CMX190CM;0;14/6/2021;SAN LUIS;VILLA MERCEDES;megatone
1;90045473;15/06/202121;;2;ALMOHADAS L.VELLÓN 70CM;0;14/6/2021;CAPITAL FEDERAL;CABA;megatone
1;90044942;15/06/202121;;2;ALMOHADAS L.VELLÓN 80CM;0;14/6/2021;BUENOS AIRES;VICENTE LOPEZ;megatone
1;90053993;15/06/202121;;1;COLCHÓN L. ROMA TRADICIONAL 140CMX190CM;0;14/6/2021;BUENOS AIRES;MONTE GRANDE;megatone
1;90072172;18/6/2021;;1;CONJUNTO L. ROMA TRADICIONAL 140CMX190CM;0;14/6/2021;BUENOS AIRES;GENERAL ROJO;megatone
1;90072245;18/6/2021;;1;COLCHÓN L. ROMA TRADICIONAL 80CMX190CM;0;15/6/2021;MENDOZA;RODEO DE MEDIO;megatone
1;90078047;18/6/2021;;1;COLCHÓN L. ROMA TRADICIONAL 140CMX190CM;0;15/6/2021;CHACO;RESISTENCIA ;megatone
1;90090632;18/6/2021;;1;ALMOHADAS L.SUPER SOFT 80CM;0;15/6/2021;BUENOS AIRES;VICENTE LOPEZ;megatone
1;90094468;18/6/2021;;1;CONJUNTO L. PREMIUM TRADICIONAL 200CMX200CM;0;15/6/2021;CÓRDOBA;VILLA MARIA;megatone
1;90114106;18/6/2021;;1;COLCHÓN L. ROMA TRADICIONAL 80CMX190CM;0;15/6/2021;SANTA FE;SANTA FE;megatone
1;90139737;23/6/2021;;1;COLCHÓN L. SUPER CONFORT TRADICIONAL 80CMX190CM;0;17/6/2021;BUENOS AIRES;VILLA BALLESTER;megatone
1;90155627;23/6/2021;;1;CONJUNTO L. PREMIUM TRADICIONAL 140CMX190CM;0;17/6/2021;SANTA FE;SAGUIER;megatone
1;90145574;30/6/2021;;2;COLCHÓN L. ROMA TRADICIONAL 80CMX190CM;0;17/6/2021;CORRIENTES;EMPEDRADO;megatone
1;90146965;23/6/2021;;1;CONJUNTO L. ATENAS TRADICIONAL 140CMX190CM;0;16/6/2021;CÓRDOBA;LAS ARRIAS;megatone
1;90162313;23/6/2021;;1;COLCHÓN L. PREMIUM TRADICIONAL 140CMX190CM;0;18/6/2021;CÓRDOBA;GENERAL CABRERA;megatone
1;90163252;23/6/2021;;1;COLCHÓN L. ROMA TRADICIONAL 140CMX190CM;0;18/6/2021;BUENOS AIRES;PUERTO QUEQUEN;megatone
