VALOR PRED.;ORDEN DE RETIRO;FECHA RETIRO OCA;COD. PRODUCTO;CANTIDAD;PRODUCTO;DTO %;FECHA COMPRA;PROVINCIA;LOCALIDAD;PLATAFORMA
1;90427609;2/7/2021;;1;COLCHÓN L. SANZIO TRADICIONAL 80CMX190CM;$ 0,00;30/6/2021;CATAMARCA;CATAMARCA;ecommerce
1;90433429;2/7/2021;;1;CONJUNTO L. SANZIO TRADICIONAL 80CMX190CM;$ 0,00;30/6/2021;BUENOS AIRES;Vicente Lopez;ecommerce
1;90460425;2/7/2021;;1;CONJUNTO L. DALI TRADICIONAL 80CMX190CM;$ 0,00;30/6/2021;SAN JUAN;SAN JUAN;ecommerce
1;90448865;2/7/2021;;1;COLCHÓN L. SANZIO TRADICIONAL 80CMX190CM;$ 0,00;30/6/2021;CÓRDOBA;Canals;ecommerce
1;90449538;2/7/2021;;3;ALMOHADAS L.VISCOÉLASTICA 70CM;PROMO 3X2;30/6/2021;TUCUMÁN;San Miguel de Tucumán;ecommerce
;;2/7/2021;;2;ALMOHADAS L.PLACA 70CM;$ 0,00;30/6/2021;TUCUMÁN;;ecommerce
1;90449744;2/7/2021;;1;COLCHÓN L. SANZIO TRADICIONAL 80CMX190CM;$ 0,00;30/6/2021;CÓRDOBA;Canals;ecommerce
1;90449949;2/7/2021;;1;COLCHÓN L. SANZIO TRADICIONAL 80CMX190CM;$ 0,00;30/6/2021;BUENOS AIRES;SAN JUSTO;ecommerce
1;90460708;2/7/2021;;1;CONJUNTO L. DALI TRADICIONAL 100CMX190CM;$ 0,00;30/6/2021;CÓRDOBA;CÓRDOBA;ecommerce
1;90461006;2/7/2021;;1;CONJUNTO L. DALI TRADICIONAL 100CMX190CM;$ 0,00;1/7/2021;NEUQUÉN;NEUQUÉN;ecommerce
1;-;5/7/2021;;1;COLCHÓN L. SANZIO TRADICIONAL 80CMX190CM;$ 0,00;2/7/2021;SANTA FE;RAFAELA;ecommerce
1;90502534;6/7/2021;;1;COLCHÓN L. SANZIO TRADICIONAL 140CMX190CM;$ 0,00;2/7/2021;CHACO; Presidencia Roque Saenz Peña;ecommerce
1;90503821;6/7/2021;;1;CONJUNTO L. DALI TRADICIONAL 140CMX190CM;$ 0,00;2/7/2021;SAN JUAN;RAWSON;ecommerce
1;90503971;6/7/2021;;1;CONJUNTO L. VASARI TRADICIONAL 160CMX200CM;$ 0,00;2/7/2021;CATAMARCA;San Fernando del Valle;ecommerce
1;90521314;6/7/2021;;3;ALMOHADAS L.VISCOÉLASTICA 70CM;PROMO 3X2;3/7/2021;SANTA FE;Salto Grande;ecommerce
1;-;5/7/2021;;3;ALMOHADAS L.VISCOÉLASTICA 70CM;PROMO 3X2;3/7/2021;SANTA FE;RAFAELA;ecommerce
